current_delinquency_status,ever_30_plus_dpd_in_last_12_months,average_of_casa_balance_to_emi_ratio_in_last_6_months,customer_age,salary_to_emi,num_of_loans_across_all_product_category,length_of_relationship,maximum_delinquency_in_last_6_months,outstanding_amount_to_gross_amount,family_size,years_of_service,event
Not Delinquent,No,0.74-1.11,39-42,0-2.59,2,91-150,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,1.11-1.73,18-24,2.59-4.94,2,>150,>0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,2.90-5.57,28-29,0-2.59,2,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,No,2.90-5.57,30-31,2.59-4.94,2,61-90,0,0.35429-0.37779,1,18-22,0
Not Delinquent,No,0.74-1.11,34-36,2.59-4.94,3,>150,0,<0.35429,1,18-22,0
Not Delinquent,No,0.49-0.74,34-36,4.94+,2,61-90,>0,0.35429-0.37779,1,6-11,0
Not Delinquent,No,14.26+,43+,4.94+,4-5,<=60,0,>0.78095,>1,>22,0
Not Delinquent,No,1.11-1.73,18-24,4.94+,3,>150,0,0.35429-0.37779,0,6-11,0
Not Delinquent,No,5.57-14.26,25-27,4.94+,3,>150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,5.57-14.26,30-31,4.94+,4-5,91-150,0,0.35429-0.37779,1,6-11,0
Not Delinquent,Yes,0.74-1.11,30-31,4.94+,1,<=60,0,<0.35429,1,6-11,0
Not Delinquent,Yes,2.90-5.57,32-33,4.94+,3,<=60,0,0.37779-0.78095,1,18-22,0
Not Delinquent,No,1.73-2.90,37-38,2.59-4.94,2,91-150,0,<0.35429,1,18-22,0
Not Delinquent,No,2.90-5.57,37-38,4.94+,4-5,>150,0,>0.78095,>1,6-11,0
Not Delinquent,No,0.74-1.11,30-31,0-2.59,3,<=60,0,0.37779-0.78095,>1,18-22,0
Not Delinquent,No,1.11-1.73,43+,2.59-4.94,1,91-150,0,>0.78095,1,1-5,0
Not Delinquent,No,0.00-0.15,43+,4.94+,3,<=60,0,>0.78095,1,>22,0
Not Delinquent,No,2.90-5.57,30-31,2.59-4.94,2,>150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,0.49-0.74,18-24,0-2.59,2,91-150,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,No,2.90-5.57,18-24,2.59-4.94,3,>150,0,0.37779-0.78095,1,18-22,0
Not Delinquent,No,1.11-1.73,43+,4.94+,3,>150,0,<0.35429,1,12-17,0
Not Delinquent,No,1.11-1.73,39-42,4.94+,6+,61-90,0,>0.78095,>1,18-22,0
Not Delinquent,No,2.90-5.57,30-31,2.59-4.94,2,<=60,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,1.11-1.73,25-27,0-2.59,2,91-150,0,0.37779-0.78095,1,6-11,0
Not Delinquent,No,2.90-5.57,18-24,4.94+,2,<=60,0,0.37779-0.78095,1,6-11,0
Not Delinquent,No,14.26+,25-27,4.94+,4-5,>150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,5.57-14.26,28-29,0-2.59,4-5,<=60,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,0.49-0.74,39-42,4.94+,4-5,>150,0,0.35429-0.37779,0,1-5,0
Not Delinquent,No,0.31-0.49,43+,2.59-4.94,6+,61-90,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,2.90-5.57,43+,2.59-4.94,3,<=60,0,>0.78095,0,12-17,0
Not Delinquent,No,1.73-2.90,30-31,4.94+,4-5,61-90,0,0.35429-0.37779,1,6-11,0
Not Delinquent,No,14.26+,43+,4.94+,2,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,No,5.57-14.26,28-29,2.59-4.94,1,91-150,>0,0.37779-0.78095,>1,6-11,0
Delinquent,No,0.31-0.49,28-29,0-2.59,6+,<=60,0,0.35429-0.37779,>1,12-17,0
Delinquent,No,0.74-1.11,43+,0-2.59,1,<=60,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,5.57-14.26,18-24,4.94+,2,61-90,>0,<0.35429,>1,1-5,0
Not Delinquent,No,2.90-5.57,32-33,4.94+,1,61-90,>0,0.37779-0.78095,1,>22,0
Not Delinquent,No,0.31-0.49,18-24,2.59-4.94,4-5,>150,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,5.57-14.26,18-24,2.59-4.94,1,91-150,0,0.37779-0.78095,1,18-22,0
Not Delinquent,No,2.90-5.57,39-42,2.59-4.94,1,<=60,0,>0.78095,>1,12-17,0
Delinquent,No,0.74-1.11,34-36,4.94+,1,<=60,0,<0.35429,1,18-22,0
Not Delinquent,No,1.11-1.73,39-42,2.59-4.94,1,<=60,0,>0.78095,1,1-5,0
Delinquent,No,1.73-2.90,25-27,2.59-4.94,6+,91-150,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,No,0.15-0.31,32-33,4.94+,4-5,>150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,5.57-14.26,18-24,0-2.59,1,>150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,0.49-0.74,39-42,0-2.59,4-5,>150,0,0.37779-0.78095,1,>22,0
Not Delinquent,Yes,5.57-14.26,28-29,2.59-4.94,3,61-90,0,0.35429-0.37779,1,>22,0
Not Delinquent,No,0.74-1.11,18-24,2.59-4.94,6+,>150,0,>0.78095,>1,1-5,0
Not Delinquent,No,0.15-0.31,28-29,4.94+,2,<=60,0,<0.35429,>1,1-5,0
Not Delinquent,No,1.73-2.90,43+,2.59-4.94,2,>150,0,<0.35429,>1,>22,0
Not Delinquent,Yes,0.49-0.74,30-31,0-2.59,1,<=60,0,<0.35429,>1,1-5,0
Not Delinquent,No,0.31-0.49,39-42,2.59-4.94,1,61-90,0,0.37779-0.78095,0,>22,0
Not Delinquent,No,5.57-14.26,43+,0-2.59,2,61-90,0,>0.78095,>1,>22,0
Not Delinquent,No,0.49-0.74,34-36,0-2.59,2,<=60,0,<0.35429,1,12-17,0
Not Delinquent,Yes,0.00-0.15,37-38,2.59-4.94,3,61-90,0,<0.35429,1,>22,0
Not Delinquent,No,0.74-1.11,25-27,4.94+,4-5,61-90,>0,<0.35429,>1,12-17,0
Not Delinquent,No,5.57-14.26,34-36,4.94+,1,91-150,0,>0.78095,1,1-5,0
Not Delinquent,Yes,5.57-14.26,28-29,4.94+,2,91-150,0,<0.35429,>1,18-22,0
Not Delinquent,No,2.90-5.57,43+,4.94+,3,<=60,0,<0.35429,>1,6-11,0
Not Delinquent,No,5.57-14.26,43+,4.94+,6+,<=60,0,<0.35429,1,1-5,0
Not Delinquent,No,1.11-1.73,43+,4.94+,2,>150,0,>0.78095,>1,>22,0
Not Delinquent,No,14.26+,39-42,2.59-4.94,3,91-150,0,<0.35429,>1,12-17,0
Not Delinquent,No,5.57-14.26,34-36,2.59-4.94,4-5,91-150,0,>0.78095,>1,1-5,0
Not Delinquent,Yes,1.73-2.90,30-31,0-2.59,1,>150,0,0.35429-0.37779,>1,>22,0
Not Delinquent,No,1.11-1.73,18-24,2.59-4.94,4-5,61-90,0,0.35429-0.37779,1,18-22,0
Not Delinquent,No,1.11-1.73,34-36,4.94+,2,<=60,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,0.49-0.74,43+,2.59-4.94,1,91-150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,14.26+,39-42,0-2.59,1,>150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,14.26+,18-24,2.59-4.94,1,91-150,>0,>0.78095,1,>22,0
Not Delinquent,No,14.26+,28-29,2.59-4.94,1,91-150,0,0.37779-0.78095,>1,18-22,0
Not Delinquent,No,1.73-2.90,25-27,4.94+,4-5,91-150,0,>0.78095,0,>22,0
Not Delinquent,Yes,14.26+,39-42,0-2.59,1,61-90,0,0.37779-0.78095,1,18-22,0
Not Delinquent,No,0.49-0.74,39-42,4.94+,6+,<=60,0,>0.78095,>1,12-17,0
Not Delinquent,No,5.57-14.26,39-42,2.59-4.94,4-5,<=60,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,0.00-0.15,25-27,4.94+,6+,61-90,0,0.35429-0.37779,1,18-22,0
Not Delinquent,No,1.11-1.73,39-42,2.59-4.94,1,61-90,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,1.73-2.90,28-29,4.94+,3,>150,0,<0.35429,>1,1-5,0
Not Delinquent,Yes,0.31-0.49,32-33,0-2.59,3,<=60,0,<0.35429,1,>22,0
Not Delinquent,No,0.49-0.74,30-31,0-2.59,4-5,<=60,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,0.74-1.11,39-42,2.59-4.94,4-5,<=60,0,0.37779-0.78095,>1,18-22,0
Delinquent,Yes,0.00-0.15,30-31,2.59-4.94,2,91-150,0,0.37779-0.78095,0,18-22,1
Not Delinquent,No,1.73-2.90,43+,2.59-4.94,6+,91-150,>0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,0.31-0.49,18-24,0-2.59,2,91-150,0,<0.35429,>1,6-11,0
Not Delinquent,No,1.73-2.90,43+,2.59-4.94,1,<=60,0,0.35429-0.37779,>1,18-22,0
Not Delinquent,Yes,0.15-0.31,43+,2.59-4.94,2,91-150,0,0.37779-0.78095,0,12-17,0
Not Delinquent,No,2.90-5.57,34-36,2.59-4.94,1,>150,0,<0.35429,1,1-5,0
Not Delinquent,No,2.90-5.57,25-27,0-2.59,4-5,91-150,0,0.37779-0.78095,1,6-11,0
Delinquent,No,0.49-0.74,37-38,4.94+,6+,61-90,0,<0.35429,>1,1-5,0
Not Delinquent,No,5.57-14.26,32-33,2.59-4.94,2,<=60,0,<0.35429,>1,18-22,0
Not Delinquent,No,5.57-14.26,43+,0-2.59,1,>150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,2.90-5.57,43+,2.59-4.94,2,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,Yes,0.49-0.74,30-31,2.59-4.94,1,>150,0,>0.78095,1,1-5,0
Not Delinquent,No,0.15-0.31,39-42,2.59-4.94,3,61-90,>0,0.35429-0.37779,0,12-17,0
Not Delinquent,No,0.49-0.74,28-29,2.59-4.94,4-5,<=60,0,<0.35429,>1,1-5,0
Not Delinquent,No,0.31-0.49,25-27,4.94+,3,61-90,0,>0.78095,>1,1-5,0
Not Delinquent,No,1.11-1.73,25-27,4.94+,4-5,61-90,0,0.35429-0.37779,0,6-11,0
Not Delinquent,No,14.26+,39-42,0-2.59,3,91-150,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,5.57-14.26,32-33,0-2.59,4-5,>150,0,0.37779-0.78095,0,>22,0
Not Delinquent,No,1.11-1.73,18-24,0-2.59,4-5,<=60,0,>0.78095,1,6-11,0
Not Delinquent,No,2.90-5.57,25-27,2.59-4.94,1,<=60,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,No,5.57-14.26,39-42,0-2.59,4-5,<=60,0,<0.35429,>1,>22,0
Not Delinquent,No,1.73-2.90,32-33,4.94+,4-5,>150,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,Yes,0.74-1.11,18-24,2.59-4.94,1,<=60,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,1.73-2.90,32-33,2.59-4.94,2,61-90,0,<0.35429,>1,18-22,0
Not Delinquent,Yes,0.31-0.49,25-27,2.59-4.94,2,61-90,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,0.49-0.74,32-33,4.94+,1,91-150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,Yes,0.49-0.74,39-42,0-2.59,2,>150,0,<0.35429,>1,18-22,0
Not Delinquent,No,0.00-0.15,39-42,4.94+,4-5,<=60,0,>0.78095,>1,18-22,0
Not Delinquent,No,2.90-5.57,43+,2.59-4.94,3,<=60,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,Yes,0.74-1.11,39-42,2.59-4.94,1,61-90,0,0.35429-0.37779,>1,>22,0
Not Delinquent,No,0.15-0.31,18-24,2.59-4.94,1,61-90,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,0.74-1.11,28-29,0-2.59,4-5,61-90,0,<0.35429,>1,12-17,0
Not Delinquent,No,0.31-0.49,28-29,2.59-4.94,4-5,61-90,0,0.35429-0.37779,0,6-11,0
Not Delinquent,No,1.73-2.90,30-31,4.94+,3,>150,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,0.74-1.11,34-36,0-2.59,2,>150,0,<0.35429,>1,12-17,0
Not Delinquent,Yes,14.26+,39-42,2.59-4.94,4-5,>150,0,>0.78095,0,6-11,0
Not Delinquent,No,0.00-0.15,18-24,0-2.59,1,>150,0,>0.78095,1,1-5,0
Not Delinquent,No,0.31-0.49,32-33,2.59-4.94,1,<=60,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,0.15-0.31,32-33,4.94+,2,<=60,0,0.35429-0.37779,>1,12-17,0
Not Delinquent,No,0.49-0.74,18-24,2.59-4.94,1,91-150,0,0.35429-0.37779,>1,18-22,0
Not Delinquent,No,5.57-14.26,34-36,2.59-4.94,4-5,91-150,0,<0.35429,1,12-17,0
Not Delinquent,No,14.26+,25-27,0-2.59,1,91-150,0,<0.35429,>1,6-11,0
Not Delinquent,No,0.15-0.31,25-27,4.94+,2,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,Yes,1.73-2.90,37-38,2.59-4.94,4-5,>150,>0,<0.35429,>1,1-5,0
Delinquent,No,2.90-5.57,43+,0-2.59,3,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,No,1.11-1.73,18-24,2.59-4.94,3,61-90,0,<0.35429,0,12-17,0
Not Delinquent,No,1.73-2.90,34-36,0-2.59,1,<=60,0,>0.78095,>1,12-17,0
Not Delinquent,No,0.74-1.11,43+,4.94+,1,61-90,0,<0.35429,1,12-17,0
Not Delinquent,No,1.11-1.73,32-33,0-2.59,2,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,0.49-0.74,30-31,2.59-4.94,2,61-90,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,0.15-0.31,25-27,0-2.59,4-5,<=60,0,0.37779-0.78095,>1,18-22,0
Not Delinquent,No,5.57-14.26,18-24,2.59-4.94,2,>150,0,<0.35429,1,>22,0
Not Delinquent,No,2.90-5.57,18-24,2.59-4.94,2,61-90,0,>0.78095,1,12-17,0
Not Delinquent,No,1.73-2.90,18-24,4.94+,4-5,<=60,0,<0.35429,>1,12-17,0
Not Delinquent,No,0.00-0.15,43+,2.59-4.94,1,<=60,>0,>0.78095,1,18-22,0
Not Delinquent,No,2.90-5.57,28-29,0-2.59,2,>150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,1.73-2.90,37-38,0-2.59,1,>150,0,<0.35429,>1,6-11,0
Not Delinquent,No,0.74-1.11,39-42,4.94+,2,91-150,0,>0.78095,>1,12-17,0
Not Delinquent,No,1.73-2.90,25-27,2.59-4.94,1,91-150,0,0.35429-0.37779,>1,>22,0
Not Delinquent,No,0.00-0.15,34-36,2.59-4.94,4-5,>150,0,>0.78095,1,6-11,0
Not Delinquent,No,0.15-0.31,18-24,4.94+,2,<=60,0,0.37779-0.78095,>1,18-22,0
Not Delinquent,No,1.11-1.73,43+,0-2.59,6+,61-90,0,<0.35429,>1,>22,0
Not Delinquent,No,0.74-1.11,25-27,2.59-4.94,4-5,<=60,0,>0.78095,1,18-22,0
Not Delinquent,No,14.26+,39-42,0-2.59,4-5,61-90,0,<0.35429,0,6-11,0
Not Delinquent,No,0.49-0.74,39-42,0-2.59,3,61-90,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,0.49-0.74,32-33,0-2.59,1,>150,>0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,2.90-5.57,34-36,4.94+,3,61-90,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,No,5.57-14.26,32-33,2.59-4.94,2,>150,0,0.37779-0.78095,1,6-11,0
Not Delinquent,No,0.00-0.15,18-24,0-2.59,1,>150,0,0.37779-0.78095,0,6-11,0
Not Delinquent,No,1.73-2.90,28-29,0-2.59,1,<=60,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,0.74-1.11,37-38,0-2.59,6+,>150,0,<0.35429,>1,6-11,0
Not Delinquent,No,14.26+,39-42,4.94+,4-5,91-150,0,<0.35429,>1,18-22,0
Not Delinquent,No,1.73-2.90,34-36,2.59-4.94,6+,91-150,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,No,0.31-0.49,32-33,4.94+,6+,<=60,0,>0.78095,1,1-5,0
Not Delinquent,No,1.73-2.90,30-31,4.94+,3,91-150,0,>0.78095,1,12-17,0
Delinquent,No,0.74-1.11,37-38,4.94+,2,<=60,0,<0.35429,>1,18-22,0
Not Delinquent,No,5.57-14.26,25-27,0-2.59,4-5,<=60,0,<0.35429,>1,6-11,0
Not Delinquent,No,1.73-2.90,43+,0-2.59,3,<=60,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,0.00-0.15,30-31,2.59-4.94,3,61-90,>0,0.37779-0.78095,1,6-11,0
Not Delinquent,No,1.11-1.73,30-31,2.59-4.94,2,>150,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,0.00-0.15,39-42,2.59-4.94,1,91-150,0,>0.78095,>1,12-17,0
Not Delinquent,No,0.00-0.15,25-27,0-2.59,1,<=60,0,<0.35429,0,18-22,0
Not Delinquent,No,0.00-0.15,30-31,4.94+,2,>150,0,<0.35429,>1,1-5,0
Not Delinquent,No,0.15-0.31,28-29,0-2.59,2,61-90,0,>0.78095,1,18-22,0
Not Delinquent,No,14.26+,32-33,0-2.59,2,<=60,0,0.37779-0.78095,0,>22,0
Not Delinquent,No,0.00-0.15,18-24,2.59-4.94,2,<=60,0,0.37779-0.78095,1,>22,0
Not Delinquent,No,5.57-14.26,28-29,0-2.59,2,>150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,14.26+,34-36,0-2.59,2,91-150,0,0.37779-0.78095,0,1-5,0
Not Delinquent,Yes,14.26+,37-38,0-2.59,3,<=60,0,0.37779-0.78095,0,>22,0
Not Delinquent,No,2.90-5.57,43+,0-2.59,1,<=60,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,0.74-1.11,39-42,0-2.59,6+,61-90,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,1.73-2.90,18-24,0-2.59,3,>150,0,0.37779-0.78095,1,6-11,0
Not Delinquent,No,14.26+,34-36,2.59-4.94,3,>150,0,>0.78095,0,18-22,0
Not Delinquent,No,1.11-1.73,18-24,2.59-4.94,1,91-150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,1.73-2.90,39-42,2.59-4.94,4-5,<=60,0,<0.35429,1,>22,0
Not Delinquent,No,0.31-0.49,34-36,2.59-4.94,3,91-150,0,<0.35429,0,>22,0
Not Delinquent,Yes,2.90-5.57,18-24,0-2.59,2,>150,0,>0.78095,>1,12-17,0
Not Delinquent,No,5.57-14.26,43+,0-2.59,2,>150,0,0.35429-0.37779,>1,18-22,0
Not Delinquent,Yes,2.90-5.57,30-31,4.94+,2,>150,0,<0.35429,>1,1-5,0
Delinquent,No,2.90-5.57,18-24,2.59-4.94,3,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,Yes,0.74-1.11,18-24,0-2.59,1,61-90,0,<0.35429,1,18-22,0
Not Delinquent,No,1.11-1.73,25-27,4.94+,2,>150,0,<0.35429,>1,6-11,0
Not Delinquent,No,2.90-5.57,25-27,2.59-4.94,1,>150,0,>0.78095,1,1-5,0
Not Delinquent,No,1.73-2.90,28-29,0-2.59,2,<=60,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,1.73-2.90,37-38,4.94+,4-5,>150,0,0.35429-0.37779,0,12-17,0
Not Delinquent,No,0.00-0.15,28-29,2.59-4.94,2,>150,>0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,5.57-14.26,18-24,4.94+,6+,>150,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,0.31-0.49,32-33,0-2.59,3,91-150,0,>0.78095,0,1-5,0
Not Delinquent,No,0.49-0.74,37-38,0-2.59,3,91-150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,14.26+,30-31,2.59-4.94,1,>150,0,<0.35429,0,>22,0
Not Delinquent,No,0.00-0.15,28-29,0-2.59,4-5,91-150,0,>0.78095,0,1-5,0
Not Delinquent,No,0.31-0.49,39-42,0-2.59,2,61-90,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,0.49-0.74,28-29,4.94+,4-5,61-90,0,0.35429-0.37779,1,6-11,0
Not Delinquent,No,1.73-2.90,30-31,0-2.59,1,91-150,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,No,1.11-1.73,30-31,4.94+,2,61-90,0,>0.78095,>1,1-5,0
Not Delinquent,No,2.90-5.57,37-38,2.59-4.94,2,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,No,14.26+,39-42,4.94+,2,61-90,0,<0.35429,1,>22,0
Not Delinquent,No,0.15-0.31,30-31,2.59-4.94,3,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,Yes,0.15-0.31,30-31,2.59-4.94,1,91-150,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,5.57-14.26,34-36,2.59-4.94,2,>150,0,0.35429-0.37779,>1,18-22,0
Not Delinquent,No,0.31-0.49,37-38,2.59-4.94,2,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,0.49-0.74,34-36,2.59-4.94,2,>150,0,0.35429-0.37779,0,1-5,0
Not Delinquent,No,5.57-14.26,32-33,0-2.59,1,<=60,0,<0.35429,>1,6-11,0
Not Delinquent,No,1.73-2.90,18-24,0-2.59,6+,<=60,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,1.73-2.90,25-27,0-2.59,3,<=60,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,0.31-0.49,25-27,2.59-4.94,1,>150,0,0.35429-0.37779,>1,>22,0
Not Delinquent,No,0.15-0.31,32-33,4.94+,6+,91-150,0,<0.35429,>1,1-5,0
Not Delinquent,No,14.26+,32-33,0-2.59,2,61-90,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,1.11-1.73,39-42,0-2.59,3,>150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,0.31-0.49,28-29,4.94+,4-5,<=60,0,>0.78095,>1,6-11,0
Not Delinquent,No,0.31-0.49,34-36,2.59-4.94,2,<=60,0,<0.35429,1,1-5,0
Not Delinquent,Yes,5.57-14.26,25-27,4.94+,1,61-90,0,>0.78095,0,6-11,0
Not Delinquent,No,1.11-1.73,34-36,4.94+,3,<=60,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,No,0.15-0.31,39-42,0-2.59,4-5,61-90,0,>0.78095,>1,12-17,0
Not Delinquent,Yes,2.90-5.57,39-42,4.94+,3,>150,0,>0.78095,0,18-22,0
Delinquent,No,1.73-2.90,25-27,0-2.59,1,91-150,0,>0.78095,>1,18-22,0
Not Delinquent,Yes,0.31-0.49,37-38,4.94+,4-5,91-150,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,14.26+,37-38,2.59-4.94,4-5,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,0.15-0.31,18-24,2.59-4.94,1,61-90,0,0.35429-0.37779,>1,>22,0
Not Delinquent,No,2.90-5.57,28-29,4.94+,1,>150,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,14.26+,39-42,4.94+,2,>150,0,0.37779-0.78095,>1,12-17,0
Not Delinquent,No,5.57-14.26,39-42,2.59-4.94,4-5,>150,0,0.37779-0.78095,0,6-11,0
Not Delinquent,No,14.26+,37-38,2.59-4.94,4-5,<=60,0,<0.35429,>1,6-11,0
Not Delinquent,No,14.26+,30-31,0-2.59,4-5,>150,0,0.37779-0.78095,0,1-5,0
Not Delinquent,No,0.49-0.74,25-27,4.94+,2,<=60,>0,<0.35429,0,1-5,0
Not Delinquent,No,5.57-14.26,37-38,0-2.59,3,91-150,0,0.37779-0.78095,>1,>22,0
Not Delinquent,No,0.00-0.15,18-24,4.94+,6+,61-90,0,>0.78095,>1,1-5,0
Not Delinquent,No,1.11-1.73,39-42,2.59-4.94,4-5,<=60,0,0.37779-0.78095,1,6-11,0
Not Delinquent,Yes,1.73-2.90,39-42,2.59-4.94,1,>150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,1.73-2.90,18-24,2.59-4.94,1,>150,0,<0.35429,>1,1-5,0
Not Delinquent,No,0.49-0.74,39-42,4.94+,2,>150,0,<0.35429,1,6-11,0
Not Delinquent,No,1.73-2.90,18-24,4.94+,6+,<=60,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,5.57-14.26,28-29,0-2.59,1,61-90,0,>0.78095,>1,6-11,0
Not Delinquent,No,0.15-0.31,43+,4.94+,2,>150,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,1.73-2.90,32-33,4.94+,3,<=60,0,>0.78095,>1,12-17,0
Not Delinquent,No,14.26+,32-33,4.94+,1,91-150,0,<0.35429,1,1-5,0
Not Delinquent,No,1.11-1.73,18-24,4.94+,6+,61-90,>0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,0.74-1.11,34-36,2.59-4.94,2,<=60,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,Yes,2.90-5.57,32-33,0-2.59,1,>150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,Yes,0.31-0.49,39-42,2.59-4.94,6+,<=60,>0,0.37779-0.78095,>1,18-22,0
Not Delinquent,No,0.74-1.11,30-31,4.94+,3,91-150,0,0.37779-0.78095,>1,1-5,0
Not Delinquent,No,0.74-1.11,39-42,4.94+,1,61-90,0,0.35429-0.37779,>1,1-5,0
Not Delinquent,No,1.73-2.90,43+,2.59-4.94,4-5,61-90,0,>0.78095,>1,12-17,0
Not Delinquent,No,0.00-0.15,18-24,4.94+,2,<=60,0,0.35429-0.37779,0,>22,0
Not Delinquent,No,2.90-5.57,37-38,4.94+,2,91-150,0,0.35429-0.37779,1,1-5,0
Not Delinquent,No,0.74-1.11,39-42,0-2.59,3,>150,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,No,2.90-5.57,28-29,0-2.59,3,>150,0,<0.35429,>1,6-11,0
Not Delinquent,No,0.49-0.74,25-27,4.94+,6+,91-150,0,0.37779-0.78095,>1,6-11,0
Not Delinquent,No,14.26+,43+,0-2.59,4-5,>150,0,0.35429-0.37779,>1,6-11,0
Not Delinquent,No,14.26+,39-42,0-2.59,1,>150,0,0.35429-0.37779,>1,12-17,0
Not Delinquent,No,0.31-0.49,43+,2.59-4.94,1,61-90,0,0.37779-0.78095,1,1-5,0
Not Delinquent,No,1.73-2.90,43+,4.94+,3,91-150,0,0.35429-0.37779,>1,18-22,0
Not Delinquent,No,2.90-5.57,28-29,2.59-4.94,3,>150,0,>0.78095,>1,1-5,0
Not Delinquent,No,0.74-1.11,30-31,4.94+,3,91-150,0,0.35429-0.37779,1,12-17,0
Not Delinquent,No,0.49-0.74,28-29,0-2.59,3,<=60,0,0.35429-0.37779,1,18-22,0
Not Delinquent,No,5.57-14.26,32-33,0-2.59,2,>150,0,>0.78095,>1,1-5,0
Not Delinquent,Yes,5.57-14.26,25-27,2.59-4.94,6+,<=60,0,0.35429-0.37779,>1,12-17,0
Not Delinquent,Yes,0.00-0.15,30-31,4.94+,1,>150,0,<0.35429,0,1-5,0
Not Delinquent,No,0.74-1.11,18-24,2.59-4.94,3,>150,0,>0.78095,1,1-5,0
Not Delinquent,No,1.73-2.90,32-33,0-2.59,1,>150,0,>0.78095,>1,1-5,0
Not Delinquent,No,0.31-0.49,25-27,2.59-4.94,3,<=60,0,<0.35429,0,6-11,0
